year,sex,school_id,school_name,enrolment
1982,F,9,National University of Singapore,5563.0
1982,MF,9,National University of Singapore,11093.0
1983,F,9,National University of Singapore,6596.0
1983,MF,9,National University of Singapore,11939.0
1984,F,9,National University of Singapore,7076.0
1984,MF,9,National University of Singapore,12721.0
1985,F,9,National University of Singapore,7396.0
1985,MF,9,National University of Singapore,13617.0
1986,F,9,National University of Singapore,7581.0
1986,MF,9,National University of Singapore,14150.0
1987,F,9,National University of Singapore,6822.0
1987,MF,9,National University of Singapore,13238.0
1988,F,9,National University of Singapore,7490.0
1988,MF,9,National University of Singapore,14317.0
1989,F,9,National University of Singapore,7857.0
1989,MF,9,National University of Singapore,14645.0
1990,F,9,National University of Singapore,8107.0
1990,MF,9,National University of Singapore,15193.0
1991,F,9,National University of Singapore,7972.0
1991,MF,9,National University of Singapore,14597.0
1992,F,9,National University of Singapore,8096.0
1992,MF,9,National University of Singapore,14922.0
1993,F,9,National University of Singapore,8276.0
1993,MF,9,National University of Singapore,15395.0
1994,F,9,National University of Singapore,8644.0
1994,MF,9,National University of Singapore,16137.0
1995,F,9,National University of Singapore,9172.0
1995,MF,9,National University of Singapore,16984.0
1996,F,9,National University of Singapore,9663.0
1996,MF,9,National University of Singapore,17669.0
1997,F,9,National University of Singapore,10063.0
1997,MF,9,National University of Singapore,18174.0
1998,F,9,National University of Singapore,10326.0
1998,MF,9,National University of Singapore,18791.0
1999,F,9,National University of Singapore,10814.0
1999,MF,9,National University of Singapore,19873.0
2000,F,9,National University of Singapore,11341.0
2000,MF,9,National University of Singapore,21233.0
2001,F,9,National University of Singapore,11781.0
2001,MF,9,National University of Singapore,22172.0
2002,F,9,National University of Singapore,11653.0
2002,MF,9,National University of Singapore,22169.0
2003,F,9,National University of Singapore,11036.0
2003,MF,9,National University of Singapore,22149.0
2004,F,9,National University of Singapore,11372.0
2004,MF,9,National University of Singapore,21781.0
2005,F,9,National University of Singapore,11326.0
2005,MF,9,National University of Singapore,22105.0
2006,F,9,National University of Singapore,11766.0
2006,MF,9,National University of Singapore,22836.0
2007,F,9,National University of Singapore,12396.0
2007,MF,9,National University of Singapore,23578.0
2008,F,9,National University of Singapore,12663.0
2008,MF,9,National University of Singapore,24086.0
2009,F,9,National University of Singapore,12944.0
2009,MF,9,National University of Singapore,24798.0
2010,F,9,National University of Singapore,13067.0
2010,MF,9,National University of Singapore,25189.0
2011,F,9,National University of Singapore,13066.0
2011,MF,9,National University of Singapore,25513.0
2012,F,9,National University of Singapore,13295.0
2012,MF,9,National University of Singapore,25979.0
2013,F,9,National University of Singapore,13532.0
2013,MF,9,National University of Singapore,26156.0
2014,F,9,National University of Singapore,14042.0
2014,MF,9,National University of Singapore,26797.0
2015,F,9,National University of Singapore,14423.0
2015,MF,9,National University of Singapore,27288.0
2016,F,9,National University of Singapore,14617.0
2016,MF,9,National University of Singapore,27702.0
2017,F,9,National University of Singapore,14600.0
2017,MF,9,National University of Singapore,28134.0
2018,F,9,National University of Singapore,14981.0
2018,MF,9,National University of Singapore,29037.0
2019,F,9,National University of Singapore,15440.0
2019,MF,9,National University of Singapore,30033.0
2020,F,9,National University of Singapore,15262.0
2020,MF,9,National University of Singapore,30420.0
2021,F,9,National University of Singapore,15693.0
2021,MF,9,National University of Singapore,31191.0
2022,F,9,National University of Singapore,15405.0
2022,MF,9,National University of Singapore,30842.0
2023,F,9,National University of Singapore,14776.0
2023,MF,9,National University of Singapore,30467.0
2024,F,9,National University of Singapore,14531.0
2024,MF,9,National University of Singapore,30176.0
1982,F,7,Nanyang Technological University,57.0
1982,MF,7,Nanyang Technological University,582.0
1983,F,7,Nanyang Technological University,120.0
1983,MF,7,Nanyang Technological University,1267.0
1984,F,7,Nanyang Technological University,230.0
1984,MF,7,Nanyang Technological University,1945.0
1985,F,7,Nanyang Technological University,253.0
1985,MF,7,Nanyang Technological University,2078.0
1986,F,7,Nanyang Technological University,302.0
1986,MF,7,Nanyang Technological University,2202.0
1987,F,7,Nanyang Technological University,1486.0
1987,MF,7,Nanyang Technological University,3940.0
1988,F,7,Nanyang Technological University,1750.0
1988,MF,7,Nanyang Technological University,4400.0
1989,F,7,Nanyang Technological University,2123.0
1989,MF,7,Nanyang Technological University,5475.0
1990,F,7,Nanyang Technological University,2689.0
1990,MF,7,Nanyang Technological University,6812.0
1991,F,7,Nanyang Technological University,3139.0
1991,MF,7,Nanyang Technological University,8712.0
1992,F,7,Nanyang Technological University,3543.0
1992,MF,7,Nanyang Technological University,9900.0
1993,F,7,Nanyang Technological University,3802.0
1993,MF,7,Nanyang Technological University,10410.0
1994,F,7,Nanyang Technological University,4220.0
1994,MF,7,Nanyang Technological University,11052.0
1995,F,7,Nanyang Technological University,4741.0
1995,MF,7,Nanyang Technological University,11545.0
1996,F,7,Nanyang Technological University,5030.0
1996,MF,7,Nanyang Technological University,12186.0
1997,F,7,Nanyang Technological University,5312.0
1997,MF,7,Nanyang Technological University,12760.0
1998,F,7,Nanyang Technological University,5494.0
1998,MF,7,Nanyang Technological University,13318.0
1999,F,7,Nanyang Technological University,5740.0
1999,MF,7,Nanyang Technological University,13849.0
2000,F,7,Nanyang Technological University,6223.0
2000,MF,7,Nanyang Technological University,14583.0
2001,F,7,Nanyang Technological University,6504.0
2001,MF,7,Nanyang Technological University,15008.0
2002,F,7,Nanyang Technological University,6822.0
2002,MF,7,Nanyang Technological University,15598.0
2003,F,7,Nanyang Technological University,6830.0
2003,MF,7,Nanyang Technological University,15764.0
2004,F,7,Nanyang Technological University,7469.0
2004,MF,7,Nanyang Technological University,16837.0
2005,F,7,Nanyang Technological University,8094.0
2005,MF,7,Nanyang Technological University,17777.0
2006,F,7,Nanyang Technological University,8797.0
2006,MF,7,Nanyang Technological University,19114.0
2007,F,7,Nanyang Technological University,9769.0
2007,MF,7,Nanyang Technological University,20206.0
2008,F,7,Nanyang Technological University,10409.0
2008,MF,7,Nanyang Technological University,21097.0
2009,F,7,Nanyang Technological University,11105.0
2009,MF,7,Nanyang Technological University,22450.0
2010,F,7,Nanyang Technological University,11389.0
2010,MF,7,Nanyang Technological University,22862.0
2011,F,7,Nanyang Technological University,11354.0
2011,MF,7,Nanyang Technological University,23040.0
2012,F,7,Nanyang Technological University,11386.0
2012,MF,7,Nanyang Technological University,22862.0
2013,F,7,Nanyang Technological University,11517.0
2013,MF,7,Nanyang Technological University,22777.0
2014,F,7,Nanyang Technological University,11623.0
2014,MF,7,Nanyang Technological University,23021.0
2015,F,7,Nanyang Technological University,11860.0
2015,MF,7,Nanyang Technological University,23512.0
2016,F,7,Nanyang Technological University,11633.0
2016,MF,7,Nanyang Technological University,23495.0
2017,F,7,Nanyang Technological University,11079.0
2017,MF,7,Nanyang Technological University,22934.0
2018,F,7,Nanyang Technological University,10896.0
2018,MF,7,Nanyang Technological University,22813.0
2019,F,7,Nanyang Technological University,11120.0
2019,MF,7,Nanyang Technological University,23063.0
2020,F,7,Nanyang Technological University,11499.0
2020,MF,7,Nanyang Technological University,23758.0
2021,F,7,Nanyang Technological University,11352.0
2021,MF,7,Nanyang Technological University,24074.0
