year,sex,school_id,school_name,graduates
1983,F,9,National University of Singapore,1508.0
1983,MF,9,National University of Singapore,2905.0
1984,F,9,National University of Singapore,1826.0
1984,MF,9,National University of Singapore,3409.0
1985,F,9,National University of Singapore,2117.0
1985,MF,9,National University of Singapore,3454.0
1986,F,9,National University of Singapore,2476.0
1986,MF,9,National University of Singapore,3860.0
1987,F,9,National University of Singapore,2390.0
1987,MF,9,National University of Singapore,3974.0
1988,F,9,National University of Singapore,1993.0
1988,MF,9,National University of Singapore,3624.0
1989,F,9,National University of Singapore,2150.0
1989,MF,9,National University of Singapore,3986.0
1990,F,9,National University of Singapore,2307.0
1990,MF,9,National University of Singapore,4001.0
1991,F,9,National University of Singapore,2584.0
1991,MF,9,National University of Singapore,4440.0
1992,F,9,National University of Singapore,2689.0
1992,MF,9,National University of Singapore,4615.0
1993,F,9,National University of Singapore,2655.0
1993,MF,9,National University of Singapore,4665.0
1994,F,9,National University of Singapore,2621.0
1994,MF,9,National University of Singapore,4802.0
1995,F,9,National University of Singapore,2803.0
1995,MF,9,National University of Singapore,4920.0
1996,F,9,National University of Singapore,2944.0
1996,MF,9,National University of Singapore,5145.0
1997,F,9,National University of Singapore,3021.0
1997,MF,9,National University of Singapore,5493.0
1998,F,9,National University of Singapore,3376.0
1998,MF,9,National University of Singapore,5908.0
1999,F,9,National University of Singapore,3337.0
1999,MF,9,National University of Singapore,5762.0
2000,F,9,National University of Singapore,3270.0
2000,MF,9,National University of Singapore,5631.0
2001,F,9,National University of Singapore,3454.0
2001,MF,9,National University of Singapore,5958.0
2002,F,9,National University of Singapore,3613.0
2002,MF,9,National University of Singapore,6277.0
2003,F,9,National University of Singapore,3238.0
2003,MF,9,National University of Singapore,5960.0
2004,F,9,National University of Singapore,3161.0
2004,MF,9,National University of Singapore,5858.0
2005,F,9,National University of Singapore,3051.0
2005,MF,9,National University of Singapore,5575.0
2006,F,9,National University of Singapore,3055.0
2006,MF,9,National University of Singapore,5621.0
2007,F,9,National University of Singapore,2943.0
2007,MF,9,National University of Singapore,5500.0
2008,F,9,National University of Singapore,2982.0
2008,MF,9,National University of Singapore,5601.0
2009,F,9,National University of Singapore,3012.0
2009,MF,9,National University of Singapore,5779.0
2010,F,9,National University of Singapore,3124.0
2010,MF,9,National University of Singapore,5833.0
2011,F,9,National University of Singapore,3403.0
2011,MF,9,National University of Singapore,6088.0
2012,F,9,National University of Singapore,3149.0
2012,MF,9,National University of Singapore,5969.0
2013,F,9,National University of Singapore,3281.0
2013,MF,9,National University of Singapore,6395.0
2014,F,9,National University of Singapore,3224.0
2014,MF,9,National University of Singapore,6210.0
2015,F,9,National University of Singapore,3192.0
2015,MF,9,National University of Singapore,6179.0
2016,F,9,National University of Singapore,3332.0
2016,MF,9,National University of Singapore,6305.0
2017,F,9,National University of Singapore,3350.0
2017,MF,9,National University of Singapore,6446.0
2018,F,9,National University of Singapore,3606.0
2018,MF,9,National University of Singapore,6700.0
2019,F,9,National University of Singapore,3553.0
2019,MF,9,National University of Singapore,6631.0
2020,F,9,National University of Singapore,3572.0
2020,MF,9,National University of Singapore,6885.0
2021,F,9,National University of Singapore,3356.0
2021,MF,9,National University of Singapore,6874.0
2022,F,9,National University of Singapore,3793.0
2022,MF,9,National University of Singapore,7277.0
2023,F,9,National University of Singapore,4040.0
2023,MF,9,National University of Singapore,7601.0
2024,F,9,National University of Singapore,3548.0
2024,MF,9,National University of Singapore,7337.0
1983,F,7,Nanyang Technological University,0.0
1983,MF,7,Nanyang Technological University,0.0
1984,F,7,Nanyang Technological University,0.0
1984,MF,7,Nanyang Technological University,0.0
1985,F,7,Nanyang Technological University,56.0
1985,MF,7,Nanyang Technological University,557.0
1986,F,7,Nanyang Technological University,64.0
1986,MF,7,Nanyang Technological University,661.0
1987,F,7,Nanyang Technological University,104.0
1987,MF,7,Nanyang Technological University,664.0
1988,F,7,Nanyang Technological University,386.0
1988,MF,7,Nanyang Technological University,1122.0
1989,F,7,Nanyang Technological University,522.0
1989,MF,7,Nanyang Technological University,1316.0
1990,F,7,Nanyang Technological University,510.0
1990,MF,7,Nanyang Technological University,1333.0
1991,F,7,Nanyang Technological University,626.0
1991,MF,7,Nanyang Technological University,1547.0
1992,F,7,Nanyang Technological University,768.0
1992,MF,7,Nanyang Technological University,2016.0
